station_id,lat,lon,source,reports,country
SNVN2,39.021,-114.09,madis,subhourly,US
SNWC1,40.46,-121.46,madis,subhourly,US
SNWM5,46.844,-92.462,madis,subhourly,US
SNWN7,35.268,-80.786,madis,subhourly,US
SNWO3,43.949,-119.54,madis,subhourly,US
SNWW1,47.985,-122.885,madis,subhourly,US
SNWW4,42.734,-108.845,madis,subhourly,US
SNX,41.039,-112.232,madis,subhourly,US
SNYM4,46.24,-85.943,madis,subhourly,US
SOAC1,39.425,-122.977,madis,subhourly,US
SOBSD,33.007,-117.276,madis,subhourly,US
SOCG1,33.773,-84.077,madis,subhourly,US
SODC2,39.56,-105.986,madis,subhourly,US
SOFC1,33.351,-117.525,madis,subhourly,US
SOGI4,42.041,-94.031,madis,subhourly,US
SOGM5,44.406,-92.931,madis,subhourly,US
SOGM7,36.617,-93.243,madis,subhourly,US
SOL,40.608,-111.604,madis,subhourly,US
SOLA2,60.455,-151.1,madis,subhourly,US
SOLAP,40.614,-111.602,madis,subhourly,US
SOLBS,40.619,-111.594,madis,subhourly,US
SOLHP,40.602,-111.614,madis,subhourly,US
SOLI1,46.167,-116.737,madis,subhourly,US
SOLMB,40.617,-111.603,madis,subhourly,US
SOLSM,40.601,-111.604,madis,subhourly,US
SOLT1,35.965,-84.179,madis,subhourly,US
SOLT2,30.106,-94.334,madis,subhourly,US
SOMC1,34.157,-117.681,madis,subhourly,US
SOMK2,37.053,-84.614,madis,subhourly,US
SOMP1,40.025,-79.096,madis,subhourly,US
SOMT1,35.259,-89.354,madis,subhourly,US
SOMT2,30.322,-96.526,madis,subhourly,US
SOPH1,18.993,-155.668,madis,subhourly,US
SOQC1,36.991,-121.955,madis,subhourly,US
SORC1,35.297,-120.636,madis,subhourly,US
SORI1,42.953,-111.359,madis,subhourly,US
SORI2,41.522,-88.193,madis,subhourly,US
SOSC2,39.015,-107.049,madis,subhourly,US
SOSK1,37.872,-101.358,madis,subhourly,US
SOSS2,45.108,-97.102,madis,subhourly,US
SOTN7,35.914,-82.067,madis,subhourly,US
SOUA2,55.833,-130.182,madis,subhourly,US
SOUC1,37.168,-118.571,madis,subhourly,US
SOUG1,33.63,-84.129,madis,subhourly,US
SOUI1,45.89,-115.99,madis,subhourly,US
SOUN3,43.214,-71.481,madis,subhourly,US
SOUT2,33.024,-98.644,madis,subhourly,US
SOXC2,38.926,-107.43,madis,subhourly,US
SPA ,34.917,-81.95,isd,hourly,US
SPAI1,42.018,-116.213,madis,subhourly,US
SPAI4,41.696,-94.375,madis,subhourly,US
SPAN7,36.46,-81.168,madis,subhourly,US
SPAO2,36.383,-95.048,madis,subhourly,US
SPAQ8,49.154,-109.916,madis,subhourly,US
SPAW2,38.801,-81.357,madis,subhourly,US
SPBM8,47.904,-113.439,madis,subhourly,US
SPBNV,39.529,-119.72,madis,subhourly,US
SPBW2,38.692,-79.542,madis,subhourly,US
SPC,40.641,-111.636,madis,subhourly,US
