"03-29-18_data_table_logger_20288025"
"Seconds past 5:00:00 AM","Intensity, Lux","log10(Intensity+1)"
8790,81.38,1.91582
8800,83.6,1.92737
8810,86.28,1.94091
8820,88.52,1.95192
8830,90.36,1.96076
8840,92.6,1.97128
8850,94.84,1.98155
8860,96.64,1.98963
8870,97.52,1.99352
8880,97.96,1.99546
8890,97.96,1.99546
8900,97.52,1.99352
8910,96.64,1.98963
8920,95.72,1.98552
8930,94.4,1.97955
8940,93.48,1.97534
8950,92.6,1.97128
8960,92.16,1.96923
8970,92.16,1.96923
8980,92.16,1.96923
8990,92.16,1.96923
9000,92.6,1.97128
9010,93.04,1.97331
9020,93.04,1.97331
9030,93.96,1.97754
9040,94.84,1.98155
9050,95.72,1.98552
9060,96.64,1.98963
9070,97.12,1.99176
9080,98.48,1.99774
9090,99.8,2.00346
9100,101.6,2.01115
9110,103.4,2.0187
9120,105.2,2.02612
9130,106.12,2.02987
9140,108.36,2.03886
9150,110.6,2.04766
9160,112.4,2.05461
9170,113.8,2.05994
9180,115.6,2.0667
9190,118.28,2.07657
9200,120.52,2.08465
9210,121.48,2.08807
9220,124.16,2.09747
9230,126.84,2.10667
9240,128.64,2.11274
9250,131.32,2.12163
9260,133.08,2.12736
9270,135.8,2.13609
9280,135,2.13354
9290,136.8,2.13925
9300,137.68,2.14201
9310,138.6,2.14489
9320,139.48,2.14761
9330,140.36,2.15033
9340,141.28,2.15314
9350,142.16,2.15582
9360,143.96,2.16125
9370,144.84,2.16388
9380,146.64,2.1692
9390,147.52,2.17178
9400,148.44,2.17447
9410,149.32,2.17702
9420,151.12,2.18219
9430,152,2.18469
9440,152.88,2.18718
9450,152.88,2.18718
9460,153.8,2.18977
9470,153.8,2.18977
9480,153.8,2.18977
9490,153.8,2.18977
9500,152.88,2.18718
9510,152.88,2.18718
9520,152.88,2.18718
9530,152.88,2.18718
9540,153.8,2.18977
9550,153.8,2.18977
9560,153.8,2.18977
9570,153.8,2.18977
9580,153.8,2.18977
9590,153.8,2.18977
9600,154.68,2.19223
9610,153.8,2.18977
9620,154.68,2.19223
9630,155.6,2.19479
9640,154.8,2.19257
9650,156.6,2.19756
9660,158.4,2.20249
9670,160.16,2.20726
9680,161.96,2.21208
9690,163.76,2.21685
9700,164.64,2.21917
9710,166.4,2.22376
9720,168.24,2.2285
9730,170.88,2.23523
9740,172.64,2.23965
9750,171.04,2.23563
9760,173.68,2.24224
9770,174.56,2.24443
9780,177.28,2.2511
9790,179.92,2.25749
9800,183.52,2.26604
9810,187.12,2.27443
